z_int:4: alist_name:NR_2_0_4
C parse3 flogtanh[0x00000]:0x00380
C parse3 flogtanh[0x00001]:0x0013a
C parse3 flogtanh[0x00002]:0x0010b
C parse3 flogtanh[0x00003]:0x000f1
C parse3 flogtanh[0x00004]:0x000de
C parse3 flogtanh[0x00005]:0x000d0
C parse3 flogtanh[0x00006]:0x000c4
C parse3 flogtanh[0x00007]:0x000ba
C parse3 flogtanh[0x00008]:0x000b2
C parse3 flogtanh[0x00009]:0x000aa
C parse3 flogtanh[0x0000a]:0x000a3
C parse3 flogtanh[0x0000b]:0x0009d
C parse3 flogtanh[0x0000c]:0x00098
C parse3 flogtanh[0x0000d]:0x00093
C parse3 flogtanh[0x0000e]:0x0008e
C parse3 flogtanh[0x0000f]:0x0008a
C parse3 flogtanh[0x00010]:0x00085
C parse3 flogtanh[0x00011]:0x00082
C parse3 flogtanh[0x00012]:0x0007e
C parse3 flogtanh[0x00013]:0x0007b
C parse3 flogtanh[0x00014]:0x00077
C parse3 flogtanh[0x00015]:0x00074
C parse3 flogtanh[0x00016]:0x00071
C parse3 flogtanh[0x00017]:0x0006f
C parse3 flogtanh[0x00018]:0x0006c
C parse3 flogtanh[0x00019]:0x00069
C parse3 flogtanh[0x0001a]:0x00067
C parse3 flogtanh[0x0001b]:0x00065
C parse3 flogtanh[0x0001c]:0x00062
C parse3 flogtanh[0x0001d]:0x00060
C parse3 flogtanh[0x0001e]:0x0005e
C parse3 flogtanh[0x0001f]:0x0005c
C parse3 flogtanh[0x00020]:0x0005a
C parse3 flogtanh[0x00021]:0x00058
C parse3 flogtanh[0x00022]:0x00056
C parse3 flogtanh[0x00023]:0x00055
C parse3 flogtanh[0x00024]:0x00053
C parse3 flogtanh[0x00025]:0x00051
C parse3 flogtanh[0x00026]:0x00050
C parse3 flogtanh[0x00027]:0x0004e
C parse3 flogtanh[0x00028]:0x0004c
C parse3 flogtanh[0x00029]:0x0004b
C parse3 flogtanh[0x0002a]:0x0004a
C parse3 flogtanh[0x0002b]:0x00048
C parse3 flogtanh[0x0002c]:0x00047
C parse3 flogtanh[0x0002d]:0x00045
C parse3 flogtanh[0x0002e]:0x00044
C parse3 flogtanh[0x0002f]:0x00043
C parse3 flogtanh[0x00030]:0x00042
C parse3 flogtanh[0x00031]:0x00040
C parse3 flogtanh[0x00032]:0x0003f
C parse3 flogtanh[0x00033]:0x0003e
C parse3 flogtanh[0x00034]:0x0003d
C parse3 flogtanh[0x00035]:0x0003c
C parse3 flogtanh[0x00036]:0x0003b
C parse3 flogtanh[0x00037]:0x0003a
C parse3 flogtanh[0x00038]:0x00039
C parse3 flogtanh[0x00039]:0x00038
C parse3 flogtanh[0x0003a]:0x00037
C parse3 flogtanh[0x0003b]:0x00036
C parse3 flogtanh[0x0003c]:0x00035
C parse3 flogtanh[0x0003d]:0x00034
C parse3 flogtanh[0x0003e]:0x00033
C parse3 flogtanh[0x0003f]:0x00032
C parse3 flogtanh[0x00040]:0x00031
C parse3 flogtanh[0x00041]:0x00031
C parse3 flogtanh[0x00042]:0x00030
C parse3 flogtanh[0x00043]:0x0002f
C parse3 flogtanh[0x00044]:0x0002e
C parse3 flogtanh[0x00045]:0x0002d
C parse3 flogtanh[0x00046]:0x0002d
C parse3 flogtanh[0x00047]:0x0002c
C parse3 flogtanh[0x00048]:0x0002b
